stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,kep_resp,corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0285277,,0.0097323,0.0285277,0.5450807,0.5450807,0.5614932,0.8474082,5.1785278,left,-10,1,1,4.6244048,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
1,2,8,5.1926763,,5.1786972,5.1926763,5.6924474,5.6924474,5.6924474,5.9920955,6.2446146,right,8,1,1,0.5437343,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
2,2,6,6.2725212,,6.2447699,6.2725212,6.7577296,6.7577296,6.7748415,7.056638,7.1769501,left,-6,1,1,0.4086947,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
3,2,5,7.1911823,,7.1771392,7.1911823,7.6910524,7.6910524,7.6910524,7.990397,8.2420901,left,-5,1,1,0.5483172,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
4,2,5,8.2555563,,8.2422868,8.2555563,8.7560259,8.7560259,8.7560259,9.06939,9.2412223,left,-5,1,1,0.4713547,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
5,2,5,9.2549351,,9.2413696,9.2549351,9.7554372,9.7554372,9.7554372,10.0550475,10.1233846,right,5,1,1,0.361515,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
6,2,5,10.1386414,,10.1235378,10.1386414,10.638828,10.638828,10.6547123,10.9547268,11.072982,right,5,1,1,0.4229903,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
7,2,5,11.0873938,,11.0731289,11.0873938,11.5870952,11.5870952,11.5870952,11.8866015,12.0718086,right,5,1,1,0.4714967,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
8,2,5,12.0855737,,12.0719629,12.0855737,12.5849098,12.5849098,12.5849098,12.885644,13.004131,left,-5,1,1,0.4049633,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
9,2,5,13.0186693,,13.0042884,13.0186693,13.5152826,13.5152826,13.5152826,13.8181093,14.0689025,right,5,1,1,0.5508537,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
10,2,5,14.083977,,14.0690584,14.083977,14.5808173,14.5808173,14.600341,14.8827498,14.8846687,left,-5,1,1,0.2992659,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
11,2,5,14.9011221,,14.8848294,14.9011221,15.3996054,15.3996054,15.4151205,15.7136871,15.7019445,right,5,1,1,0.2893828,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
12,2,5,15.7136871,,15.7020966,15.7136871,16.2138449,16.2138449,16.2138449,16.5121313,16.5344527,left,-5,1,1,0.3165183,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
13,2,5,16.5457662,,16.5346057,16.5457662,17.0450644,17.0450644,17.0450644,17.3465968,17.3335978,right,5,1,1,0.2801447,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
14,1,5,17.3465968,,17.3337475,17.3465968,17.8458106,17.8458106,17.8458106,18.1451503,18.1471918,right,5,0,0,0.2965528,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
15,1,6,18.1641286,,18.1473484,18.1641286,18.6435917,18.6435917,18.6769554,18.9430069,19.3774809,right,6,0,0,0.7267501,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
16,1,7,19.3945967,,19.377616,19.3945967,19.8759109,19.8759109,19.9096993,20.175736,20.4635479,left,-7,0,0,0.5739576,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
17,1,8,20.4755991,,20.463711,20.4755991,20.9755586,20.9755586,20.9755586,21.2751733,21.7092274,left,-8,1,1,0.7252512,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
18,1,8,21.7271407,,21.70938,21.7271407,22.2073451,22.2073451,22.2418373,22.5065614,22.6429628,right,8,1,1,0.4332261,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
19,1,8,22.6589872,,22.6431048,22.6589872,23.1393879,23.1393879,23.1741492,23.4395728,23.6271027,right,8,1,1,0.4730321,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
20,1,7,23.6391926,,23.6272735,23.6391926,24.1389196,24.1389196,24.1389196,24.4393486,24.7060338,right,7,1,1,0.5543255,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
21,1,7,24.7238776,,24.7061735,24.7238776,25.2044517,25.2044517,25.2380005,25.5045754,25.5929934,left,-7,1,1,0.383627,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
22,1,7,25.6214743,,25.5931571,25.6214743,26.1041502,26.1041502,26.1232071,26.404399,26.63944,left,-7,1,1,0.5237391,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
23,1,6,26.6553197,,26.6395969,26.6553197,27.1383851,27.1383851,27.1545125,27.453038,27.4237545,left,-6,1,1,0.2823522,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
24,1,6,27.453038,,27.4239668,27.453038,27.9384853,27.9384853,27.9549491,28.2539579,28.2732613,right,6,1,1,0.3206151,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
25,1,6,28.2876461,,28.2734151,28.2876461,28.7881277,28.7881277,28.7881277,29.0882436,29.2557342,right,6,1,1,0.465102,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
26,1,5,29.2834719,,29.2559552,29.2834719,29.7664092,29.7664092,29.7811333,30.0700703,30.137824,left,-5,1,1,0.3539388,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
27,1,5,30.1563746,,30.1379723,30.1563746,30.6490817,30.6490817,30.669066,,30.9041668,left,-5,1,1,0.2479854,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
28,0.5,5,30.9164817,,30.9043171,30.9164817,31.4150738,31.4150738,31.4150738,31.7146224,31.8036256,left,-5,0,0,0.3767702,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
29,0.5,5.5,31.817208,,31.8037853,31.817208,32.3170816,32.3170816,32.3170816,32.618223,32.7846079,left,-5.5,1,1,0.4608962,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
30,0.5,5.5,32.7996304,,32.784758,32.7996304,33.3049353,33.3049353,33.3049353,33.6154755,33.7671383,right,5.5,1,1,0.4495729,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
31,0.5,5.5,33.783149,,33.767288,33.783149,34.2816026,34.2816026,34.2987979,34.581946,37.1149464,right,5.5,1,1,2.8252759,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
32,0.5,5,37.1290447,,37.1151429,37.1290447,37.6291065,37.6291065,37.6291065,37.9428304,38.2442343,left,-5,1,1,0.5989588,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
33,0.5,5,38.2744433,,38.2443909,38.2744433,38.7488951,38.7488951,38.8067674,39.0602794,39.2126388,right,5,1,1,0.4453678,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
34,0.5,5,39.2270155,,39.2127907,39.2270155,39.7268085,39.7268085,39.7268085,40.0263704,40.0650095,left,-5,1,1,0.3270933,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
35,0.5,5,40.0922377,,40.0652391,40.0922377,40.575243,40.575243,40.5929486,40.8754335,40.961429,right,5,1,1,0.3734876,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
36,0.5,5,40.9905348,,40.9615837,40.9905348,41.474568,41.474568,41.4913981,41.7746074,41.7760209,left,-5,1,1,0.2848282,234428,1,2024-09-12_18h27.40.168,AdaptiveStaircase,2024.1.5,None,2024-09-12 18h27.51.209318 +0530,
